feature_type,clustering_method,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity,n_clusters,n_samples,n_noise
audio_vae,kmeans,0.19167488813400269,142.1202880653705,1.3370550117949573,0.18222404844966061,0.3247295578077206,0.394,10,1000,0.0
audio_vae,agglomerative,0.1444595754146576,117.54514655138598,1.4742101663976297,0.21371737318653006,0.3479328641599972,0.422,10,1000,0.0
audio_vae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,980,
lyrics_vae,kmeans,0.0881756916642189,60.6273990235114,1.9703619879335488,0.001194900179789106,0.02216004016712888,0.153,10,1000,0.0
lyrics_vae,agglomerative,0.06797628849744797,47.881084942270455,2.21875024067392,-9.314419064710603e-05,0.01989108030821122,0.148,10,1000,0.0
lyrics_vae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,996,
concat_vae_pca,kmeans,0.05775616317987442,38.34725376813703,2.484404199323257,0.09484874485723738,0.16088648549984483,0.282,10,1000,0.0
concat_vae_pca,agglomerative,0.032025087624788284,27.691228977015577,2.944770650440876,0.04866687311632857,0.1037607963771762,0.234,10,1000,0.0
concat_vae_pca,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,990,
audio_heavy_vae,kmeans,0.14539752900600433,104.1876986809977,1.5936625723883142,0.15903597976063652,0.30984007776214406,0.367,10,1000,0.0
audio_heavy_vae,agglomerative,0.11724905669689178,89.51884547408639,1.7779842927745602,0.17317045328803413,0.3225764102121209,0.381,10,1000,0.0
audio_heavy_vae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,979,
balanced_vae,kmeans,0.0969729870557785,65.48907039343975,2.0564708148351545,0.16096150225370212,0.3080487544489738,0.376,10,1000,0.0
balanced_vae,agglomerative,0.06711061298847198,53.308354308804674,2.2867470828106975,0.12219779404671961,0.24744684662557548,0.334,10,1000,0.0
balanced_vae,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,989,
audio_pca,kmeans,0.1211485606632777,108.74447607347743,2.0082179802758278,0.1762216998365595,0.3208860436671149,0.391,10,1000,0.0
audio_pca,agglomerative,0.12204944196271052,97.45231191603155,1.9919337231213146,0.19014560069900693,0.350464302819213,0.371,10,1000,0.0
audio_pca,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,972,
lyrics_pca,kmeans,0.06654724524092581,53.5861406344034,2.1181152672569357,0.00011366012243851739,0.018709420524671862,0.143,10,1000,0.0
lyrics_pca,agglomerative,0.06445868632761557,40.88699447437181,2.4415775350910653,-0.000997698232895333,0.017052632948154026,0.138,10,1000,0.0
lyrics_pca,dbscan,0.5948036415772571,59.87283867471658,0.3934157869871149,-8.884075863746502e-06,0.005017506248843633,0.10251256281407035,2,995,5.0
concat_pca_baseline,kmeans,0.09418595245335368,88.24156533104585,2.2734114772498564,0.1763123774948043,0.3160152998318479,0.375,10,1000,0.0
concat_pca_baseline,agglomerative,0.07341175044369079,79.32938594606625,2.388319549878431,0.17570049285717157,0.3128003687663989,0.376,10,1000,0.0
concat_pca_baseline,dbscan,-1.0,0.0,999.0,0.0,0.0,0.0,1,980,
